Name,School,Rating,School_key,Conf,conf_z,Rating_conf
Tyrese Hunter,Memphis,81.5593,memphis,AAC,0.6339551295658994,83.09650718729249
Jeremy Roach,Baylor,79.0565833333333,baylor,B12,1.7207353516788697,83.07746857425802
Saint Thomas,USC,78.3972333333334,usc,Big Ten,2.0829954257165264,83.07404660715989
Carter Bryant,Arizona,79.0390166666666,arizona,B12,1.7207353516788697,83.05345120461223
Jase Richardson,Michigan St.,78.3028833333334,michiganst,Big Ten,2.0829954257165264,82.9387211941528
TJ Bamba,Oregon,78.2655333333333,oregon,Big Ten,2.0829954257165264,82.88522607245467
Kasean Pryor,Louisville,78.8975,louisville,ACC,1.7207353516788697,82.86025319385325
Noah Reynolds,TCU,78.8875833333333,tcu,B12,1.7207353516788697,82.84673398077027
Tre Holloman,Michigan St.,78.1233666666666,michiganst,Big Ten,2.0829954257165264,82.68199638612009
Tytan Anderson,Northern Iowa,82.22625,northerniowa,MVC,0.27169505552824263,82.65627217929878
Tru Washington,New Mexico,79.6714,newmexico,Mountain West,1.2377219196286608,82.60020953822091
Chris Manon,Vanderbilt,78.0042333333333,vanderbilt,SEC,2.0829954257165264,82.51216740113762
Viktor Lakhin,Clemson,78.6082833333333,clemson,ACC,1.7207353516788697,82.46698310131357
Christoph Tilly,Santa Clara,80.9805333333334,santaclara,WCC,0.6339551295658994,82.44338448077917
Tony Perkins,Missouri,77.9240166666666,missouri,SEC,2.0829954257165264,82.39805770490153
Chuck Harris,SMU,78.5201,smu,ACC,1.7207353516788697,82.34748858300904
Labaron Philon,Alabama,77.8823333333333,alabama,SEC,2.0829954257165264,82.33883900823021
