"Name","School","Rating"
"Emaia O'Brien","Detroit Mercy Titans",66.688923031731
"Alexus Mobley","Akron Zips",66.6821700338291
"Emily La Chapell","Belmont Bruins",66.6781481883098
"Soleil Barnes","Bradley Braves",66.6684264200635
"Dolly Cairns","Florida Gulf Coast Eagles",66.6674036221624
"Avery Waddington","Montana Lady Griz",66.6651260973982
"Skye Belker","Princeton Tigers",66.6630514704386
"Carleigh Wenzel","Virginia Tech Hokies",66.6612516816853
"Cali Clark","San Diego State Aztecs",66.6586920404915
"Vernell Atamah","Northwestern State Lady Demons",66.6334169998233
"Matilda Ekh","Virginia Tech Hokies",66.6157654881989
"Jaidynn Mason","Marquette Golden Eagles",66.6096436636067
